Spotify_ID,Artist,Title,Year,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Clustering Coefficient,Community
7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Just the Way You Are,2010,0.004900816802800467,0.0,0.004900816802800466,1.0,319
15JINEqzVMv3SvJTAXAKED,Eminem,Love The Way You Lie,2010,0.0037339556592765463,0.0,0.0037339556592765463,1.0,1311
0SiywuOBRcynK0uKGWdCnn,Lady Gaga,Bad Romance,2010,0.00676779463243874,0.0,0.00676779463243874,1.0,678
2GYHyAoLWpkxLVa4oYTVko,Stromae,Alors on danse - Radio Edit,2010,0.00023337222870478414,0.0,0.00023337222870478414,0.0,424
0HPD5WQqrq7wPWR7P7Dw1i,Kesha,TiK ToK,2010,0.0030338389731621937,0.0,0.0030338389731621937,1.0,556
4dTaAiV9xFFCxnPur9c9yL,David Guetta,Memories (feat. Kid Cudi),2010,0.007467911318553093,0.0,0.007467911318553093,1.0,5
2CEgGE6aESpnmtfiZwYlbV,Taio Cruz,Dynamite,2010,0.0021003500583430573,0.0,0.0021003500583430573,1.0,50
2ENexcMEMsYk0rVJigVD3i,Rihanna,Only Girl (In The World),2010,0.00840140023337223,0.0,0.00840140023337223,1.0,952
6tS3XVuOyu10897O3ae7bi,Katy Perry,California Gurls,2010,0.008868144690781798,0.0,0.008868144690781798,1.0,1064
4HlFJV71xXKIGcU3kRyttv,Train,"Hey, Soul Sister",2010,0.0009334889148191366,0.0,0.0009334889148191366,1.0,133
161DnLWsx1i3u1JT05lzqU,Bruno Mars,Talking to the Moon,2010,0.004900816802800467,0.0,0.004900816802800466,1.0,319
6epn3r7S14KUqlReYr77hA,Justin Bieber,Baby,2010,0.005600933488914819,0.0,0.005600933488914819,1.0,1238
7Ie9W94M7OjPoZVV216Xus,Eminem,Not Afraid,2010,0.0037339556592765463,0.0,0.0037339556592765463,1.0,1311
4356Typ82hUiFAynbLYbPn,USHER,DJ Got Us Fallin' In Love (feat. Pitbull),2010,0.0025670945157526257,0.0,0.0025670945157526253,1.0,753
2a1o6ZejUi8U3wzzOtCOYw,Don Omar,Danza Kuduro,2010,0.00023337222870478414,0.0,0.00023337222870478414,0.0,607
6cmm1LMvZdB5zsCwX5BjqE,Jay Sean,Down,2010,0.0007001166861143524,0.0,0.0007001166861143524,1.0,15
60jzFy6Nn4M0iD1d94oteF,Rihanna,Rude Boy,2010,0.00840140023337223,0.0,0.00840140023337223,1.0,952
6ebkx7Q5tTxrCxKq4GYj0Y,Flo Rida,Club Can't Handle Me (feat. David Guetta),2010,0.0037339556592765463,0.0,0.0037339556592765463,1.0,203
3DamFFqW32WihKkTVlwTYQ,Owl City,Fireflies,2010,0.0007001166861143524,0.0,0.0007001166861143524,1.0,266
59dLtGBS26x7kc0rHbaPrq,B.o.B,Nothin' on You (feat. Bruno Mars),2010,0.0011668611435239208,0.0,0.0011668611435239206,1.0,389
2V4bv1fNWfTcyRJKmej6Sj,Mike Posner,Cooler Than Me - Single Mix,2010,0.0009334889148191366,0.0,0.0009334889148191366,1.0,397
030OCtLMrljNhp8OWHBWW3,USHER,Hey Daddy (Daddy's Home),2010,0.0025670945157526257,0.0,0.0025670945157526253,1.0,753
3ZdJffjzJWFimSQyxgGIxN,Nelly,Just A Dream,2010,0.0004667444574095683,0.0,0.0004667444574095683,1.0,65
5jzKL4BDMClWqRguW5qZvh,Katy Perry,Teenage Dream,2010,0.008868144690781798,0.0,0.008868144690781798,1.0,1064
6lV2MSQmRIkycDScNtrBXO,B.o.B,Airplanes (feat. Hayley Williams of Paramore),2010,0.0011668611435239208,0.0,0.0011668611435239206,1.0,389
3GBApU0NuzH4hKZq4NOSdA,Two Door Cinema Club,What You Know,2010,0.00023337222870478414,0.0,0.00023337222870478414,0.0,111
2M9ULmQwTaTGmAdXaXpfz5,Travie McCoy,Billionaire (feat. Bruno Mars),2010,0.00023337222870478414,0.0,0.00023337222870478414,0.0,26
6DkXLzBQT7cwXmTyzAB1DJ,Rihanna,What's My Name?,2010,0.00840140023337223,0.0,0.00840140023337223,1.0,952
4TCL0qqKyqsMZml0G3M9IM,Lady Gaga,Telephone,2010,0.00676779463243874,0.0,0.00676779463243874,1.0,678
4AYX69oFP3UOS1CFmV9UfO,Trey Songz,Bottoms Up (feat. Nicki Minaj),2010,0.001633605600933489,0.0,0.001633605600933489,1.0,439
5vlEg2fT4cFWAqU5QptIpQ,Iyaz,Replay,2010,0.00023337222870478414,0.0,0.00023337222870478414,0.0,30
5sra5UY6sD658OabHL3QtI,Alicia Keys,Empire State of Mind (Part II) Broken Down,2010,0.0007001166861143524,0.0,0.0007001166861143524,1.0,789
1bM50INir8voAkVoKuvEUI,USHER,OMG (feat. will.i.am),2010,0.0025670945157526257,0.0,0.0025670945157526253,1.0,753
6BdgtqiV3oXNqBikezwdvC,Drake,Over,2010,0.014235705950991833,0.0,0.014235705950991832,1.0,518
7vWFaMq63AwkFDhS2OAg5u,Black Eyed Peas,The Time (Dirty Bit),2010,0.004434072345390899,0.0,0.004434072345390899,1.0,69
1HHeOs6zRdF8Ck58easiAY,Lady Gaga,Alejandro,2010,0.00676779463243874,0.0,0.00676779463243874,1.0,678
7ElF5zxOwYP4qVSWVvse3W,Taio Cruz,Break Your Heart,2010,0.0021003500583430573,0.0,0.0021003500583430573,1.0,50
6vc2Jq2vaGu8z326kSrw92,Kesha,Your Love Is My Drug,2010,0.0030338389731621937,0.0,0.0030338389731621937,1.0,556
1fBl642IhJOE5U319Gy2Go,Neon Trees,Animal,2010,0.0007001166861143524,0.0,0.0007001166861143524,1.0,38
3iL2l5gUqyPS6vDwJFgJTR,Young Money,BedRock,2010,0.0,0.0,0.0,0.0,39
6wN4nT2qy3MQc098yL3Eu9,Chris Brown,Deuces (feat. Tyga & Kevin McCall),2010,0.004667444574095683,0.0,0.004667444574095682,1.0,1497
4DvhkX2ic4zWkQeWMwQ2qf,Far East Movement,Like A G6,2010,0.0011668611435239208,0.0,0.0011668611435239206,1.0,734
6A5NlmBCsCGbJ27jHQgKV5,Jay Sean,Do You Remember,2010,0.0007001166861143524,0.0,0.0007001166861143524,1.0,15
