loc,Spotify_ID,Title,Year,Artist,polarity,subjectivity,sentiment
9910,2TH65lNHgvLxCKXM3apjxI,Callaita,2018,Bad Bunny,-0.7000000000000001,0.6666666666666666,"Sentiment(polarity=-0.7000000000000001, subjectivity=0.6666666666666666)"
8117,6qAcApH8obo8eqatCKUHd9,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),2015,Taylor Swift,-0.6999999999999998,0.6666666666666666,"Sentiment(polarity=-0.6999999999999998, subjectivity=0.6666666666666666)"
10110,2WDhYlm5gBepkMZHBk0LN7,AH YEAH,2018,WINNER,-0.6999999999999998,0.6666666666666666,"Sentiment(polarity=-0.6999999999999998, subjectivity=0.6666666666666666)"
11531,0RE4crnT3jRms1xxVlEZx2,Bad boy,2022,Marwa Loud,-0.6999999999999995,0.6666666666666671,"Sentiment(polarity=-0.6999999999999995, subjectivity=0.6666666666666671)"
6159,57kR5SniQIbsbVoIjjOUDa,You Know You Like It,2017,DJ Snake,-0.6699999999999999,0.7883333333333333,"Sentiment(polarity=-0.6699999999999999, subjectivity=0.7883333333333333)"
11599,5HJqLDDjgdhON8LL9U3Oa3,Bomb A Drop,2022,Garmiani,-0.6462566844919783,0.6581996434937613,"Sentiment(polarity=-0.6462566844919783, subjectivity=0.6581996434937613)"
9611,60S5aC7jL01SqODVWDhBWO,FUCKED UP - Hansell Remix,2017,Raggarligan,-0.6,0.7000000000000001,"Sentiment(polarity=-0.6, subjectivity=0.7000000000000001)"
11010,4zfQER4owi8q6NL8Gg63Ya,CRAZYZ,2021,Fuerza Regida,-0.6,0.9,"Sentiment(polarity=-0.6, subjectivity=0.9)"
10079,2qI0Uchpdc2RkzuhbRnnZ8,Can't You See Me?,2018,TOMORROW X TOGETHER,-0.5999999999999999,0.8333333333333333,"Sentiment(polarity=-0.5999999999999999, subjectivity=0.8333333333333333)"
4216,6pD0ufEQq0xdHSsRbg9LBK,un x100to,2012,Grupo Frontera,-0.5399999999999998,0.7333333333333332,"Sentiment(polarity=-0.5399999999999998, subjectivity=0.7333333333333332)"
9926,4t9a07PAghtQMRAIP9FQ7Z,Soltera (Remix),2018,Lunay,-0.5399999999999998,0.5833333333333334,"Sentiment(polarity=-0.5399999999999998, subjectivity=0.5833333333333334)"
8895,3vcLw8QA3yCOkrj9oLSZNs,I Know - PR1SVX Edit,2017,Kanii,-0.5043209876543208,0.6487654320987651,"Sentiment(polarity=-0.5043209876543208, subjectivity=0.6487654320987651)"
6026,7JJvXMvPZ4MwiixlsvW8yt,piano song,2021,BLUEM,-0.5,0.75,"Sentiment(polarity=-0.5, subjectivity=0.75)"
11011,4WefXOf8I4gMjdj2kBJgkl,Patadas de Ahogado,2019,LATIN MAFIA,-0.5,0.5,"Sentiment(polarity=-0.5, subjectivity=0.5)"
6722,7yrjhNUeEYi4q6FjJ6yN7p,Amigo,2013,Klevi,-0.5,1.0,"Sentiment(polarity=-0.5, subjectivity=1.0)"
10997,283ngLR3LX6cdq9unM7MJ0,MARTILLAZO,2019,Dani Flow,-0.5,0.75,"Sentiment(polarity=-0.5, subjectivity=0.75)"
5155,29m79w9xPMH4YCD6r8JSmV,Excuses,2022,AP Dhillon,-0.5,0.5,"Sentiment(polarity=-0.5, subjectivity=0.5)"
10063,0ZeGfEAL5Rl4pd5LZBGuEK,Maria,2018,HWASA,-0.5,1.0,"Sentiment(polarity=-0.5, subjectivity=1.0)"
3503,6IAfQUFWaQdqoTz0P1jk9W,Dirty Talk,2011,Wynter Gordon,-0.48636363636363616,0.6984848484848488,"Sentiment(polarity=-0.48636363636363616, subjectivity=0.6984848484848488)"
3720,1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) - from the series Arcane League of Legends,2020,Imagine Dragons,-0.4785714285714285,0.569047619047619,"Sentiment(polarity=-0.4785714285714285, subjectivity=0.569047619047619)"
8141,6cmXX1EiigAAyvahpqfa4c,Evil Ways (feat. J. Cole),2015,Drake,-0.45999999999999996,0.64,"Sentiment(polarity=-0.45999999999999996, subjectivity=0.64)"
10955,3FvTHuefYV6TxE3Kseqno8,LOU LOU,2019,Gabito Ballesteros,-0.45,0.8,"Sentiment(polarity=-0.45, subjectivity=0.8)"
233,3bMNprrp2JDKZsGbiXpsJl,My Chick Bad,2010,Ludacris,-0.43683862433862414,0.5575396825396827,"Sentiment(polarity=-0.43683862433862414, subjectivity=0.5575396825396827)"
7816,0YZEYxd1oiqZRFhnnmTKKi,Another Life,2015,Motionless In White,-0.4208333333333334,0.6500000000000001,"Sentiment(polarity=-0.4208333333333334, subjectivity=0.6500000000000001)"
9378,4NBTZtAt1F13VvlSKe6KTl,This Feeling,2016,The Chainsmokers,-0.4166666666666667,0.7999999999999999,"Sentiment(polarity=-0.4166666666666667, subjectivity=0.7999999999999999)"
9192,3ee8Jmje8o58CHK66QrVC2,SAD!,2018,XXXTENTACION,-0.4124999999999999,0.8583333333333334,"Sentiment(polarity=-0.4124999999999999, subjectivity=0.8583333333333334)"
3619,5ildQOEKmJuWGl2vRkFdYc,DESPECHÁ,2012,ROSALÍA,-0.4,0.6,"Sentiment(polarity=-0.4, subjectivity=0.6)"
4027,7oT5ZoaCpilJ8B6uD0Djrc,Anything Could Happen,2012,Ellie Goulding,-0.4,0.7,"Sentiment(polarity=-0.4, subjectivity=0.7)"
9614,2izd2Ke23axCcWGUkAyKyG,Genom Dalarna,2017,Kuselofte,-0.4,0.6,"Sentiment(polarity=-0.4, subjectivity=0.6)"
2300,4zy1s9GnxWsNzZp1688euA,Addicted to You,2010,Shakira,-0.39999999999999997,0.6,"Sentiment(polarity=-0.39999999999999997, subjectivity=0.6)"
11630,3DTqHfTGj1c6y2gDXsTez4,Regardless,2022,RAYE,-0.3979166666666667,0.5916666666666667,"Sentiment(polarity=-0.3979166666666667, subjectivity=0.5916666666666667)"
10201,2eFNfCCSgMYqqA6iD2eAHd,Don't Stay,2018,X Ambassadors,-0.39166666666666666,0.5749999999999998,"Sentiment(polarity=-0.39166666666666666, subjectivity=0.5749999999999998)"
1494,2Fxmhks0bxGSBdJ92vM42m,bad guy,2018,Billie Eilish,-0.37559001670843767,0.6519893483709275,"Sentiment(polarity=-0.37559001670843767, subjectivity=0.6519893483709275)"
10227,4qCgKKXa3CF6CzEDLW6vTt,Secrets,2018,P!nk,-0.36833333333333346,0.6374999999999997,"Sentiment(polarity=-0.36833333333333346, subjectivity=0.6374999999999997)"
10058,4ecVWqbtW6phQGpZMAyqIU,Not Shy,2018,ITZY,-0.3631578947368421,0.5263157894736842,"Sentiment(polarity=-0.3631578947368421, subjectivity=0.5263157894736842)"
8103,0PAcdVzhPO4gq1Iym9ESnK,Thinkin’ Bout Me,2015,Morgan Wallen,-0.3611111111111111,0.5425925925925925,"Sentiment(polarity=-0.3611111111111111, subjectivity=0.5425925925925925)"
5157,6ZYxNjuAU9Vy3VtF6W1dtE,We Rollin,2022,Shubh,-0.36,0.45999999999999996,"Sentiment(polarity=-0.36, subjectivity=0.45999999999999996)"
1464,09CtPGIpYB4BrO8qb1RGsF,Sorry,2015,Justin Bieber,-0.35814459930313597,0.7256533101045297,"Sentiment(polarity=-0.35814459930313597, subjectivity=0.7256533101045297)"
3681,2DB4DdfCFMw1iaR6JaR03a,Bam Bam (feat. Ed Sheeran),2020,Camila Cabello,-0.35392156862745094,0.6647058823529411,"Sentiment(polarity=-0.35392156862745094, subjectivity=0.6647058823529411)"
6436,1sNctqVr9zdS7i1RZNjIgY,Crazy Kids,2013,Kesha,-0.3532241014799153,0.6482558139534883,"Sentiment(polarity=-0.3532241014799153, subjectivity=0.6482558139534883)"
9504,3x9zIsVAQUNvU3J2tR58Di,SOS,2017,KANGDANIEL,-0.35,0.525,"Sentiment(polarity=-0.35, subjectivity=0.525)"
11180,6kPYrnBJubso1t47lbXvNU,Uyire,2020,Sid Sriram,-0.35,0.875,"Sentiment(polarity=-0.35, subjectivity=0.875)"
1220,3TGRqZ0a2l1LRblBkJoaDx,Call Me Maybe,2010,Carly Rae Jepsen,-0.34866071428571427,0.6693948412698411,"Sentiment(polarity=-0.34866071428571427, subjectivity=0.6693948412698411)"
8511,6Za3190Sbw39BBC77WSS1C,Criminal,2017,NATTI NATASHA,-0.34838709677419366,0.5225806451612907,"Sentiment(polarity=-0.34838709677419366, subjectivity=0.5225806451612907)"
7423,4NOZ35Dhucr6UlVyLOtktd,Dangerous,2015,Kardinal Offishall,-0.34608977978543176,0.6355884152079802,"Sentiment(polarity=-0.34608977978543176, subjectivity=0.6355884152079802)"
8421,2cOUlop2ZakjOKe4WinesN,Slow Hands,2016,Niall Horan,-0.34226190476190466,0.4639880952380954,"Sentiment(polarity=-0.34226190476190466, subjectivity=0.4639880952380954)"
11506,0J9g1MMJDhyvOb3NWckHMm,Chulo pt.2,2021,Bad Gyal,-0.34137931034482755,0.5436781609195401,"Sentiment(polarity=-0.34137931034482755, subjectivity=0.5436781609195401)"
7848,0uJWRUl48Urhm3OiiFHqQ0,Blood on the Sand,2015,Thrice,-0.3342165898617511,0.688236047107015,"Sentiment(polarity=-0.3342165898617511, subjectivity=0.688236047107015)"
7794,3EmmCZoqpWOTY1g2GBwJoR,Just Hold On,2015,Steve Aoki,-0.3333333333333333,0.6,"Sentiment(polarity=-0.3333333333333333, subjectivity=0.6)"
11326,2IEQHXxE3ouwypVsdSB7Wj,I Need U (Urban Mix),2020,BTS,-0.3333333333333333,0.43333333333333335,"Sentiment(polarity=-0.3333333333333333, subjectivity=0.43333333333333335)"
9770,4odbaySGxXOgH7ISBUfgvg,Know Me,2018,NAV,-0.33151260504201685,0.5084033613445378,"Sentiment(polarity=-0.33151260504201685, subjectivity=0.5084033613445378)"
9454,43VXG87ajppI8mO1Mxo8vu,FEFE (feat. Nicki Minaj & Murda Beatz),2018,6ix9ine,-0.325,0.525,"Sentiment(polarity=-0.325, subjectivity=0.525)"
1747,6ylAVPbjRQoNY0khgh63Jf,Fuck You,2010,Lily Allen,-0.32477453102453097,0.5839466089466094,"Sentiment(polarity=-0.32477453102453097, subjectivity=0.5839466089466094)"
5867,23RoR84KodL5HWvUTneQ1w,(It Goes Like) Nanana - Edit,2013,Peggy Gou,-0.32,0.6199999999999999,"Sentiment(polarity=-0.32, subjectivity=0.6199999999999999)"
11065,0WpLeTWD3MZhU58TgKP5cy,Sad!,2019,Kid Travis,-0.31935483870967746,0.7290322580645161,"Sentiment(polarity=-0.31935483870967746, subjectivity=0.7290322580645161)"
10590,2gMXnyrvIjhVBUZwvLZDMP,Before You Go,2021,Lewis Capaldi,-0.3169642857142857,0.7464285714285714,"Sentiment(polarity=-0.3169642857142857, subjectivity=0.7464285714285714)"
5334,1FJrsh1NbV9eRw5JQt3M4e,Twenty Eight,2012,The Weeknd,-0.3130434782608696,0.6698757763975156,"Sentiment(polarity=-0.3130434782608696, subjectivity=0.6698757763975156)"
11437,7uwJwSKpmzZH7p7imm4f1P,No Reason,2020,Ryan.B,-0.31176470588235294,0.8588235294117645,"Sentiment(polarity=-0.31176470588235294, subjectivity=0.8588235294117645)"
9587,7BmKJdweRmNSeBARQTjzum,Disco Disco Party Party,2017,Harris & Ford,-0.31089743589743585,0.5403846153846154,"Sentiment(polarity=-0.31089743589743585, subjectivity=0.5403846153846154)"
5150,2Rmisp1rkVF9GFWQy6LJLQ,The Ghost,2022,NIVIRO,-0.30624999999999997,0.65,"Sentiment(polarity=-0.30624999999999997, subjectivity=0.65)"
5006,2lv5Q4pel6Q1ErAYYPGqsr,paro - slowed + reverb,2022,slō,-0.30000000000000004,0.5392857142857143,"Sentiment(polarity=-0.30000000000000004, subjectivity=0.5392857142857143)"
3565,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",2022,Bizarrap,-0.3,0.6,"Sentiment(polarity=-0.3, subjectivity=0.6)"
8719,04ktmMQxCUW9bjmjNQJj7Z,Jerit Atiku,2016,Via Vallen,-0.3,0.6,"Sentiment(polarity=-0.3, subjectivity=0.6)"
2255,1AGiRfocK2IUraqsLdB2Ml,Autobahn,2010,Arik Dov,-0.3,0.5499999999999999,"Sentiment(polarity=-0.3, subjectivity=0.5499999999999999)"
8060,2QfX9Pdz3q66fN3kCXl0Js,Revival,2015,Zach Bryan,-0.29999999999999993,0.5566666666666666,"Sentiment(polarity=-0.29999999999999993, subjectivity=0.5566666666666666)"
11030,6ewmZ7vUOjitwsg4yJ6xhX,Get Silly,2019,V.I.C.,-0.2989455782312925,0.6801814058956916,"Sentiment(polarity=-0.2989455782312925, subjectivity=0.6801814058956916)"
3886,0IuVhCflrQPMGRrOyoY5RW,she's all i wanna be,2020,Tate McRae,-0.29682002394768336,0.5538707746154554,"Sentiment(polarity=-0.29682002394768336, subjectivity=0.5538707746154554)"
9765,14mHfNsSHN0FbLftyjrV9g,Leave Me Alone,2018,Flipp Dinero,-0.29209770114942535,0.6534482758620693,"Sentiment(polarity=-0.29209770114942535, subjectivity=0.6534482758620693)"
8664,7ojlc670BFRL0lnmtEqo83,Tum Hi Ho,2017,Monata,-0.29166666666666663,0.5516666666666666,"Sentiment(polarity=-0.29166666666666663, subjectivity=0.5516666666666666)"
11303,2DsdZx34mT4jVtnPk1eoFM,NEED YOU MOST (So Sick),2020,The Kid LAROI,-0.28957142857142854,0.7023809523809522,"Sentiment(polarity=-0.28957142857142854, subjectivity=0.7023809523809522)"
11417,4OoO0q9DrsT0pSHvA435KF,情人,2020,KUN,-0.28942307692307695,0.40384615384615385,"Sentiment(polarity=-0.28942307692307695, subjectivity=0.40384615384615385)"
2449,5yVIlYEHZxQVLyInCdldoS,Impossible,2010,James Arthur,-0.2852564102564102,0.7942307692307693,"Sentiment(polarity=-0.2852564102564102, subjectivity=0.7942307692307693)"
7814,6WzFJcNLBW3p2cf5ZbWzfE,Die Trying,2015,New Medicine,-0.2839285714285714,0.6196428571428572,"Sentiment(polarity=-0.2839285714285714, subjectivity=0.6196428571428572)"
779,1fidCEsYlaVE3pHwKCvpFZ,Am I Wrong,2013,Nico & Vinz,-0.281203007518797,0.7030075187969921,"Sentiment(polarity=-0.281203007518797, subjectivity=0.7030075187969921)"
1818,45EDI3rk0f4cAMt9f8b56R,Impossible,2010,Shontelle,-0.28025362318840574,0.8081521739130434,"Sentiment(polarity=-0.28025362318840574, subjectivity=0.8081521739130434)"
8149,4iUt4PddTybyCrpQAMoJH7,I should hate you,2015,Gracie Abrams,-0.2786734693877551,0.5894217687074829,"Sentiment(polarity=-0.2786734693877551, subjectivity=0.5894217687074829)"
8740,1lAJUXyP5S2dUYHer1xBas,Drunk And Nasty (feat. Sharc),2017,Pi’erre Bourne,-0.2785714285714286,0.7339285714285714,"Sentiment(polarity=-0.2785714285714286, subjectivity=0.7339285714285714)"
7717,0lnIJmgcUpEpe4AZACjayW,Sorry,2015,Beyoncé,-0.27662515566625157,0.7821461187214611,"Sentiment(polarity=-0.27662515566625157, subjectivity=0.7821461187214611)"
11293,0sci7ppTZFm4mjcH3nu8yO,nasty,2020,Ariana Grande,-0.27658730158730144,0.4764682539682537,"Sentiment(polarity=-0.27658730158730144, subjectivity=0.4764682539682537)"
950,4B4vB3oB8csotplfoQcAd6,Little Lion Man,2010,Mumford & Sons,-0.27045454545454545,0.5000000000000001,"Sentiment(polarity=-0.27045454545454545, subjectivity=0.5000000000000001)"
10094,1iIhGHzzrzqQfuNkFI2qAn,Any song,2018,ZICO,-0.26885714285714285,0.6474285714285714,"Sentiment(polarity=-0.26885714285714285, subjectivity=0.6474285714285714)"
8935,0ancVQ9wEcHVd0RrGICTE4,Take Me Out,2017,Franz Ferdinand,-0.26666666666666666,0.5,"Sentiment(polarity=-0.26666666666666666, subjectivity=0.5)"
3414,0QKfiqpEU4h9ycPSzIFwYe,Maniac,2011,Michael Sembello,-0.26666666666666666,0.8666666666666667,"Sentiment(polarity=-0.26666666666666666, subjectivity=0.8666666666666667)"
7259,6y6jbcPG4Yn3Du4moXaenr,idfc,2014,blackbear,-0.26499999999999996,0.8000000000000002,"Sentiment(polarity=-0.26499999999999996, subjectivity=0.8000000000000002)"
11102,2JF8KwK1hH7MWxKcFdTlcg,In The Party,2019,Flo Milli,-0.26446759259259256,0.5589120370370371,"Sentiment(polarity=-0.26446759259259256, subjectivity=0.5589120370370371)"
