loc,Spotify_ID,Title,Year,Artist,polarity,subjectivity,sentiment
11361,02q0ZnV2L4XByzEvWZJqBC,Spring Day,2020,BTS,1.0,0.3,"Sentiment(polarity=1.0, subjectivity=0.3)"
10810,77khP2fIVhSW23NwxrRluh,A Holly Jolly Christmas,2019,Burl Ives,1.0,0.3,"Sentiment(polarity=1.0, subjectivity=0.3)"
10817,6tjituizSxwSmBB5vtgHZE,Holly Jolly Christmas,2019,Michael Bublé,1.0,0.3,"Sentiment(polarity=1.0, subjectivity=0.3)"
9564,3TSLqZssCoCdDlMhCJ08XW,Still Life,2017,BIGBANG,0.8,1.0,"Sentiment(polarity=0.8, subjectivity=1.0)"
7903,2pFdf2vRg9p49amXUL3ZVm,Melodies,2015,Hot Shade,0.775,0.8479166666666667,"Sentiment(polarity=0.775, subjectivity=0.8479166666666667)"
9565,5uFqjHOo3Sh0bVPCKf3DdH,Illusion,2017,aespa,0.75625,0.925,"Sentiment(polarity=0.75625, subjectivity=0.925)"
2988,1X1DWw2pcNZ8zSub3uhlNz,Hall of Fame (feat. will.i.am),2011,The Script,0.75,0.5166666666666667,"Sentiment(polarity=0.75, subjectivity=0.5166666666666667)"
2234,5UqCQaDshqbIk3pkhy4Pjg,Levels - Radio Edit,2010,Avicii,0.7,0.6000000000000001,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)"
7898,0PwatPu2SZYXHCzjAfQEbe,Yellow(good parts),2015,Jared Benjamin,0.7,0.6000000000000001,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)"
9612,1puxV64QJkmRUhhXt4T9rD,MER & MER,2017,Hooja,0.7,0.6000000000000001,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)"
2670,45sDIKapDyxPl307QpEAwl,Rocketeer,2010,Far East Movement,0.6788359788359789,0.7834656084656086,"Sentiment(polarity=0.6788359788359789, subjectivity=0.7834656084656086)"
11387,0mPY8Zqi5Kvjm4RDzmF4yg,TOUCH MY BODY,2020,Sam Kim,0.6666666666666666,0.5,"Sentiment(polarity=0.6666666666666666, subjectivity=0.5)"
9956,5iwz1NiezX7WWjnCgY5TH4,Calma - Remix,2020,Pedro Capó,0.6666666666666666,0.7666666666666666,"Sentiment(polarity=0.6666666666666666, subjectivity=0.7666666666666666)"
7818,4ochm99Pc9wVHnHIY3cqxb,Happy Face,2015,Jagwar Twin,0.6638888888888891,0.8871794871794872,"Sentiment(polarity=0.6638888888888891, subjectivity=0.8871794871794872)"
3947,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),2021,David Guetta,0.659090909090909,0.49090909090909085,"Sentiment(polarity=0.659090909090909, subjectivity=0.49090909090909085)"
3163,5T7ZFtCcOgkpjxcuaeZbw0,Best Song Ever,2011,One Direction,0.65,0.3736842105263157,"Sentiment(polarity=0.65, subjectivity=0.3736842105263157)"
